bad : worse = big : bigger -> ['bigger', 'larger', 'smaller', 'funnier', 'greater']
bad : worse = bright : brighter -> ['brighter', 'richer', 'browner', 'sharper', 'whiter']
bad : worse = cheap : cheaper -> ['cheaper', 'inexpensive', 'expensive', 'affordable', 'slower']
bad : worse = cold : colder -> ['warmer', 'colder', 'hotter', 'drier', 'angrier']
bad : worse = cool : cooler -> ['warmer', 'hotter', 'colder', 'cooler', 'warm']
bad : worse = deep : deeper -> ['deeper', 'narrower', 'deepest', 'slower', 'wider']
bad : worse = easy : easier -> ['easier', 'harder', 'slower', 'tougher', 'cheaper']
bad : worse = fast : faster -> ['faster', 'slower', 'slowly', 'googly', 'quicker']
bad : worse = good : better -> ['better', 'funnier', 'happier', 'moreso', 'nastier']
bad : worse = great : greater -> ['greater', 'bigger', 'florenz', 'better', 'lesser']
bad : worse = hard : harder -> ['harder', 'easier', 'tougher', 'slower', 'cheaper']
bad : worse = heavy : heavier -> ['heavier', 'lighter', 'tougher', 'harder', 'deadlier']
bad : worse = high : higher -> ['higher', 'larger', 'cheaper', 'smaller', 'low']
bad : worse = hot : hotter -> ['hotter', 'heavier', 'angrier', 'harder', 'bigger']
bad : worse = large : larger -> ['larger', 'smaller', 'bigger', 'sizable', 'sizeable']
bad : worse = long : longer -> ['longer', 'shorter', 'basally', 'spindly', 'inwardly']
bad : worse = loud : louder -> ['louder', 'funnier', 'angrier', 'slower', 'bigger']
bad : worse = low : lower -> ['higher', 'lowest', 'hotter', 'lower', 'smaller']
bad : worse = new : newer -> ['larger', 'newer', 'smaller', 'nastier', 'noisier']
bad : worse = old : older -> ['older', 'larger', 'younger', 'bigger', 'smaller']
bad : worse = quick : quicker -> ['slower', 'quicker', 'easier', 'tougher', 'angrier']
bad : worse = safe : safer -> ['safer', 'cheaper', 'healthier', 'easier', 'slower']
bad : worse = sharp : sharper -> ['sharper', 'harder', 'tougher', 'bigger', 'angrier']
bad : worse = short : shorter -> ['shorter', 'longer', 'slower', 'larger', 'funnier']
bad : worse = simple : simpler -> ['simpler', 'bigger', 'noisier', 'funnier', 'neater']
bad : worse = slow : slower -> ['slower', 'faster', 'slowing', 'quicker', 'accelerate']
bad : worse = small : smaller -> ['smaller', 'larger', 'bigger', 'sizable', 'tiny']
bad : worse = smart : smarter -> ['smarter', 'cheaper', 'bigger', 'tougher', 'angrier']
bad : worse = strong : stronger -> ['stronger', 'weaker', 'tougher', 'weak', 'angrier']
bad : worse = tall : taller -> ['taller', 'larger', 'narrower', 'bigger', 'heavier']
bad : worse = tight : tighter -> ['tighter', 'closer', 'tougher', 'narrower', 'deeper']
bad : worse = tough : tougher -> ['tougher', 'harder', 'angrier', 'funnier', 'heavier']
bad : worse = warm : warmer -> ['warmer', 'drier', 'hotter', 'colder', 'angrier']
bad : worse = weak : weaker -> ['weaker', 'stronger', 'tougher', 'angrier', 'funnier']
bad : worse = wide : wider -> ['wider', 'narrower', 'broader', 'larger', 'smaller']
bad : worse = young : younger -> ['younger', 'older', 'wealthier', 'twombly', 'youngest']
big : bigger = bright : brighter -> ['brighter', 'richer', 'browner', 'lighter', 'whiter']
big : bigger = cheap : cheaper -> ['cheaper', 'inexpensive', 'heavier', 'leaner', 'expensive']
big : bigger = cold : colder -> ['warmer', 'hotter', 'colder', 'cooler', 'drier']
big : bigger = cool : cooler -> ['warmer', 'hotter', 'cooler', 'colder', 'calmer']
big : bigger = deep : deeper -> ['deeper', 'narrower', 'stronger', 'wider', 'heavier']
big : bigger = easy : easier -> ['easier', 'harder', 'tougher', 'slower', 'faster']
big : bigger = fast : faster -> ['faster', 'slower', 'heavier', 'tougher', 'leaner']
big : bigger = good : better -> ['better', 'funnier', 'uglier', 'sillier', 'nastier']
big : bigger = great : greater -> ['larger', 'greater', 'smaller', 'sillier', 'scarier']
big : bigger = hard : harder -> ['harder', 'tougher', 'easier', 'heavier', 'slower']
big : bigger = heavy : heavier -> ['heavier', 'lighter', 'larger', 'tougher', 'stronger']
big : bigger = high : higher -> ['higher', 'larger', 'smaller', 'stronger', 'low']
big : bigger = hot : hotter -> ['hotter', 'heavier', 'larger', 'stronger', 'tougher']
big : bigger = large : larger -> ['larger', 'smaller', 'sizeable', 'sizable', 'narrower']
big : bigger = long : longer -> ['longer', 'shorter', 'larger', 'narrower', 'broader']
big : bigger = loud : louder -> ['louder', 'funnier', 'stronger', 'tougher', 'heavier']
big : bigger = low : lower -> ['higher', 'larger', 'heavier', 'smaller', 'weaker']
big : bigger = new : newer -> ['newer', 'larger', 'sturdier', 'new-build', 'broader']
big : bigger = old : older -> ['older', 'larger', 'newer', 'smaller', 'weaker']
big : bigger = quick : quicker -> ['slower', 'tougher', 'faster', 'leaner', 'cheaper']
big : bigger = safe : safer -> ['healthier', 'safer', 'cheaper', 'stronger', 'friendlier']
big : bigger = sharp : sharper -> ['sharper', 'taut', 'tougher', 'heavier', 'larger']
big : bigger = short : shorter -> ['shorter', 'larger', 'longer', 'narrower', 'slower']
big : bigger = simple : simpler -> ['simpler', 'leaner', 'bulkier', 'larger', 'noisier']
big : bigger = slow : slower -> ['slower', 'faster', 'slowing', 'heavier', 'slows']
big : bigger = small : smaller -> ['smaller', 'larger', 'smallish', 'tiny', 'sizeable']
big : bigger = smart : smarter -> ['smarter', 'tougher', 'leaner', 'healthier', 'prettier']
big : bigger = strong : stronger -> ['stronger', 'weaker', 'tougher', 'heavier', 'weak']
big : bigger = tall : taller -> ['taller', 'larger', 'heavier', 'narrower', 'smaller']
big : bigger = tight : tighter -> ['tighter', 'tougher', 'narrower', 'closer', 'looser']
big : bigger = tough : tougher -> ['tougher', 'stronger', 'heavier', 'harder', 'weaker']
big : bigger = warm : warmer -> ['warmer', 'hotter', 'drier', 'colder', 'healthier']
big : bigger = weak : weaker -> ['weaker', 'stronger', 'tougher', 'heavier', 'uglier']
big : bigger = wide : wider -> ['wider', 'broader', 'narrower', 'larger', 'smaller']
big : bigger = young : younger -> ['younger', 'older', 'middle-aged', 'larger', 'pre-teen']
big : bigger = bad : worse -> ['uglier', 'worse', 'weaker', 'stronger', 'funnier']
bright : brighter = cheap : cheaper -> ['cheaper', 'quieter', 'fatter', 'sweeter', 'softer']
bright : brighter = cold : colder -> ['colder', 'hotter', 'warmer', 'quieter', 'rougher']
bright : brighter = cool : cooler -> ['colder', 'hotter', 'rougher', 'warmer', 'quieter']
bright : brighter = deep : deeper -> ['deeper', 'shallower', 'rougher', 'quieter', 'hotter']
bright : brighter = easy : easier -> ['easier', 'quieter', 'harder', 'quicker', 'smoother']
bright : brighter = fast : faster -> ['faster', 'quieter', 'slower', 'smoother', 'quicker']
bright : brighter = good : better -> ['funnier', 'trickier', 'weirder', 'neater', 'quieter']
bright : brighter = great : greater -> ['greater', 'quieter', 'rougher', 'nobler', 'funnier']
bright : brighter = hard : harder -> ['harder', 'quieter', 'rougher', 'softer', 'fatter']
bright : brighter = heavy : heavier -> ['heavier', 'quieter', 'rougher', 'tighter', 'fatter']
bright : brighter = high : higher -> ['higher', 'quieter', 'rougher', 'steeper', 'fatter']
bright : brighter = hot : hotter -> ['hotter', 'quieter', 'rougher', 'fatter', 'colder']
bright : brighter = large : larger -> ['larger', 'smaller', 'bigger', 'huge', 'bulkier']
bright : brighter = long : longer -> ['quieter', 'longer', 'shorter', 'rougher', 'bristly']
bright : brighter = loud : louder -> ['louder', 'quieter', 'sweeter', 'fatter', 'rougher']
bright : brighter = low : lower -> ['quieter', 'rougher', 'hotter', 'steeper', 'shallower']
bright : brighter = new : newer -> ['quieter', 'newer', 'rougher', 'd-new', 'sleeker']
bright : brighter = old : older -> ['quieter', 'older', 'rougher', 'fatter', 'newer']
bright : brighter = quick : quicker -> ['quicker', 'quieter', 'faster', 'smoother', 'neater']
bright : brighter = safe : safer -> ['quieter', 'safer', 'healthier', 'quicker', 'smarter']
bright : brighter = sharp : sharper -> ['sharper', 'fatter', 'fainter', 'slimmer', 'quieter']
bright : brighter = short : shorter -> ['shorter', 'quieter', 'fainter', 'rougher', 'straighter']
