boy : girl = brother : sister -> ['brother', 'stepbrother', 'half-brother', 'half-sister', 'niece']
boy : girl = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'sons', 'stepsisters']
boy : girl = dad : mom -> ['dad', 'mom', 'mum', 'grandmother', 'dads']
boy : girl = father : mother -> ['father', 'mother', 'grandmother', 'grandfather', 'parents']
boy : girl = grandfather : grandmother -> ['grandfather', 'grandmother', 'father', 'great-grandfather', 'niece']
boy : girl = grandpa : grandma -> ['grandpa', 'grandma', 'smurfette', 'auntie', 'trixie']
boy : girl = grandson : granddaughter -> ['grandson', 'granddaughter', 'niece', 'great-grandson', 'nephew']
boy : girl = groom : bride -> ['groom', 'bridegroom', 'bride', 'bridesmaids', 'bride-to-be']
boy : girl = he : she -> ['he', 'she', 'it', 'slimmy', 'davydova']
boy : girl = his : her -> ['his', 'her', 'their', 'my', 'your']
boy : girl = husband : wife -> ['husband', 'fianc', 'ex-husband', 'boyfriend', 'stepmother']
boy : girl = king : queen -> ['king', 'queen', 'kings', 'monarch', 'princess']
boy : girl = man : woman -> ['man', 'woman', 'girl', 'person', 'divorcee']
boy : girl = nephew : niece -> ['nephew', 'niece', 'granddaughter', 'grandson', 'daughter']
boy : girl = policeman : policewoman -> ['policeman', 'policewoman', 'woman', 'policemen', 'prostitute']
boy : girl = prince : princess -> ['prince', 'princess', 'princesses', 'savang', 'feodora']
boy : girl = son : daughter -> ['son', 'daughter', 'granddaughter', 'grandson', 'niece']
boy : girl = sons : daughters -> ['sons', 'daughters', 'granddaughters', 'sons-in-law', 'daughter']
boy : girl = stepbrother : stepsister -> ['stepbrother', 'step-sister', 'step-daughter', 'step-mother', 'stepsister']
boy : girl = stepfather : stepmother -> ['stepfather', 'stepmother', 'fiancee', 'step-father', 'step-mother']
boy : girl = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'step-daughter', 'niece', 'daughter-in-law']
boy : girl = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'grandfather', 'niece']
brother : sister = brothers : sisters -> ['sister', 'sisters', 'brothers', 'daughters', 'siblings']
brother : sister = dad : mom -> ['dad', 'sister', 'mom', 'mum', 'mother']
brother : sister = father : mother -> ['mother', 'sister', 'father', 'grandmother', 'stepmother']
brother : sister = grandfather : grandmother -> ['sister', 'grandmother', 'mother', 'grandfather', 'sister-in-law']
brother : sister = grandpa : grandma -> ['grandpa', 'sister', 'grandma', 'auntie', 'roxie']
brother : sister = grandson : granddaughter -> ['sister', 'granddaughter', 'daughter', 'niece', 'great-granddaughter']
brother : sister = groom : bride -> ['groom', 'bridegroom', 'bride', 'sister', 'bridesmaid']
brother : sister = he : she -> ['he', 'she', 'sister', 'it', 'ahs']
brother : sister = his : her -> ['his', 'her', 'their', 'your', 'xyr']
brother : sister = husband : wife -> ['sister', 'husband', 'stepmother', 'sister-in-law', 'fianc']
brother : sister = king : queen -> ['king', 'queen', 'sister', 'princess', 'monarch']
brother : sister = man : woman -> ['man', 'woman', 'girl', 'sister', 'person']
brother : sister = nephew : niece -> ['sister', 'niece', 'daughter', 'sister-in-law', 'granddaughter']
brother : sister = policeman : policewoman -> ['policeman', 'policewoman', 'police', 'sister', 'waitress']
brother : sister = prince : princess -> ['princess', 'prince', 'sister', 'infanta', 'queen']
brother : sister = son : daughter -> ['sister', 'daughter', 'son', 'niece', 'half-sister']
brother : sister = sons : daughters -> ['daughters', 'sister', 'sons', 'granddaughters', 'daughter']
brother : sister = stepbrother : stepsister -> ['sister', 'step-sister', 'stepsister', 'step-daughter', 'sister-in-law']
brother : sister = stepfather : stepmother -> ['sister', 'stepmother', 'stepfather', 'sister-in-law', 'mother']
brother : sister = stepson : stepdaughter -> ['sister', 'stepdaughter', 'stepson', 'sister-in-law', 'half-sister']
brother : sister = uncle : aunt -> ['sister', 'uncle', 'aunt', 'grandmother', 'niece']
brother : sister = boy : girl -> ['boy', 'girl', 'sister', 'schoolgirl', 'girls']
brothers : sisters = dad : mom -> ['dad', 'mom', 'mother', 'mum', 'grandmother']
brothers : sisters = father : mother -> ['mother', 'father', 'grandmother', 'sisters', 'stepmother']
brothers : sisters = grandfather : grandmother -> ['grandfather', 'grandmother', 'niece', 'granddaughter', 'mother']
brothers : sisters = grandpa : grandma -> ['grandpa', 'smurfette', 'grandma', 'kaylie', 'aberlin']
brothers : sisters = grandson : granddaughter -> ['granddaughter', 'niece', 'grandson', 'great-granddaughter', 'grand-daughter']
brothers : sisters = groom : bride -> ['groom', 'bridegroom', 'prioress', 'newlyweds', 'bride']
brothers : sisters = he : she -> ['he', 'she', 'oerip', 'squanto', 'prejean']
brothers : sisters = his : her -> ['his', 'her', 'their', 'lfgifu', 'my']
brothers : sisters = husband : wife -> ['husband', 'stepmother', 'daughter-in-law', 'sister-in-law', 'fianc']
brothers : sisters = king : queen -> ['king', 'queen', 'princess', 'prioress', 'liliuokalani']
brothers : sisters = man : woman -> ['man', 'woman', 'girl', 'person', 'schoolgirl']
brothers : sisters = nephew : niece -> ['niece', 'granddaughter', 'nephew', 'sister-in-law', 'great-granddaughter']
brothers : sisters = policeman : policewoman -> ['policeman', 'policewoman', 'schoolgirl', 'schoolteacher', 'housemaid']
brothers : sisters = prince : princess -> ['prince', 'princess', 'electress', 'feodora', 'margravine']
brothers : sisters = son : daughter -> ['son', 'daughter', 'granddaughter', 'niece', 'daughters']
brothers : sisters = sons : daughters -> ['daughters', 'sisters', 'sons', 'granddaughters', 'nieces']
brothers : sisters = stepbrother : stepsister -> ['step-daughter', 'stepbrother', 'step-sister', 'stepsister', 'step-mother']
brothers : sisters = stepfather : stepmother -> ['stepfather', 'stepmother', 'sister-in-law', 'step-mother', 'great-aunt']
brothers : sisters = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'step-daughter', 'niece', 'sister-in-law']
brothers : sisters = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'niece', 'great-aunt']
brothers : sisters = boy : girl -> ['boy', 'girl', 'schoolgirl', 'girls', 'woman']
brothers : sisters = brother : sister -> ['sisters', 'brother', 'sister', 'half-sister', 'niece']
dad : mom = father : mother -> ['father', 'mom', 'mother', 'grandmother', 'grandfather']
dad : mom = grandfather : grandmother -> ['grandfather', 'grandmother', 'mom', 'great-grandfather', 'granddaughter']
dad : mom = grandpa : grandma -> ['grandpa', 'mom', 'grandma', 'lyla', 'sweetie']
dad : mom = grandson : granddaughter -> ['grandson', 'granddaughter', 'nephew', 'great-grandson', 'niece']
dad : mom = groom : bride -> ['groom', 'bridegroom', 'mom', 'bride', 'bridesmaids']
dad : mom = he : she -> ['he', 'she', 'mom', 'kosilek', 'unca']
dad : mom = his : her -> ['his', 'her', 'their', 'xyr', 'my']
dad : mom = husband : wife -> ['husband', 'mom', 'ex-husband', 'fianc', 'boyfriend']
dad : mom = king : queen -> ['king', 'queen', 'adulyadej', 'princess', 'prince']
dad : mom = man : woman -> ['man', 'woman', 'girl', 'mom', 'person']
dad : mom = nephew : niece -> ['nephew', 'granddaughter', 'niece', 'half-brother', 'grandson']
dad : mom = policeman : policewoman -> ['policeman', 'policewoman', 'mom', 'schoolteacher', 'waitress']
dad : mom = prince : princess -> ['prince', 'princess', 'hrh', 'savang', 'asfaw']
dad : mom = son : daughter -> ['son', 'daughter', 'half-brother', 'granddaughter', 'nephew']
dad : mom = sons : daughters -> ['sons', 'daughters', 'siblings', 'granddaughters', 'grandsons']
