athens : greece = baghdad : iraq -> ['baghdad', 'greece', 'syria', 'afghanistan', 'libya']
athens : greece = bangkok : thailand -> ['bangkok', 'greece', 'thailand', 'kyrgyzstan', 'cambodia']
athens : greece = beijing : china -> ['greece', 'beijing', 'china', 'kyrgyzstan', 'ethiopia']
athens : greece = berlin : germany -> ['berlin', 'germany', 'greece', 'belgium', 'italy']
athens : greece = bern : switzerland -> ['bern', 'greece', 'rumania', 'hungary', 'belgium']
athens : greece = cairo : egypt -> ['greece', 'cairo', 'syria', 'egypt', 'arabia']
athens : greece = canberra : australia -> ['canberra', 'tasmania', 'greece', 'australia', 'australasia']
athens : greece = hanoi : vietnam -> ['greece', 'hanoi', 'iran', 'kyrgyzstan', 'syria']
athens : greece = havana : cuba -> ['havana', 'greece', 'venezuela', 'italy', 'surinam']
athens : greece = helsinki : finland -> ['greece', 'helsinki', 'belgium', 'moldova', 'slovakia']
athens : greece = islamabad : pakistan -> ['islamabad', 'kyrgyzstan', 'pakistan', 'uzbekistan', 'tajikistan']
athens : greece = kabul : afghanistan -> ['kabul', 'greece', 'syria', 'afghanistan', 'chechnya']
athens : greece = london : england -> ['london', 'greece', 'italy', 'germany', 'britain']
athens : greece = madrid : spain -> ['madrid', 'greece', 'italy', 'belgium', 'venezuela']
athens : greece = moscow : russia -> ['greece', 'moscow', 'russia', 'moldova', 'romania']
athens : greece = oslo : norway -> ['oslo', 'greece', 'slovakia', 'belgium', 'moldova']
athens : greece = ottawa : canada -> ['ottawa', 'greece', 'canada', 'saskatchewan', 'toronto']
athens : greece = paris : france -> ['paris', 'italy', 'greece', 'belgium', 'rumania']
athens : greece = rome : italy -> ['greece', 'rome', 'egypt', 'italy', 'persia']
athens : greece = stockholm : sweden -> ['greece', 'stockholm', 'italy', 'belgium', 'sweden']
athens : greece = tehran : iran -> ['greece', 'tehran', 'iran', 'kyrgyzstan', 'arabia']
athens : greece = tokyo : japan -> ['tokyo', 'greece', 'japan', 'germany', 'italy']
baghdad : iraq = bangkok : thailand -> ['iraq', 'bangkok', 'afghanistan', 'vietnam', 'cambodia']
baghdad : iraq = beijing : china -> ['beijing', 'iraq', 'vietnam', 'china', 'iran']
baghdad : iraq = berlin : germany -> ['berlin', 'iraq', 'germany', 'czechoslovakia', 'belgium']
