boy : girl = brother : sister -> ['brother', 'sister', 'brother-in-law', 'stepbrother', 'sister-in-law']
boy : girl = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'stepsisters', 'stepbrothers']
boy : girl = dad : mom -> ['dad', 'mom', 'mum', 'grandma', 'grandmother']
boy : girl = father : mother -> ['father', 'mother', 'grandfather', 'grandmother', 'stepfather']
boy : girl = grandfather : grandmother -> ['grandfather', 'grandmother', 'great-grandmother', 'aunt', 'great-grandfather']
boy : girl = grandpa : grandma -> ['grandpa', 'grandma', 'queenie', 'auntie', 'sharona']
boy : girl = grandson : granddaughter -> ['grandson', 'granddaughter', 'great-grandson', 'son-in-law', 'great-granddaughter']
boy : girl = groom : bride -> ['groom', 'bridegroom', 'grooms', 'bride', 'bridesmaid']
boy : girl = he : she -> ['he', 'she', 'who', 'they', 'censei']
boy : girl = his : her -> ['his', 'their', 'my', 'its', 'your']
boy : girl = husband : wife -> ['husband', 'boyfriend', 'fiance', 'fiancé', 'mother-in-law']
boy : girl = king : queen -> ['king', 'queen', 'monarch', 'norodom', 'princess']
boy : girl = man : woman -> ['man', 'woman', 'girl', 'seductress', 'loner']
boy : girl = nephew : niece -> ['nephew', 'niece', 'half-sister', 'half-brother', 'great-nephew']
boy : girl = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'shopkeeper', 'policemen']
boy : girl = prince : princess -> ['prince', 'princess', 'duchess', 'archduke', 'margravine']
boy : girl = son : daughter -> ['son', 'daughter', 'granddaughter', 'grandson', 'stepdaughter']
boy : girl = sons : daughters -> ['sons', 'daughters', 'granddaughters', 'grandsons', 'nieces']
boy : girl = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'sister-in-law', 'great-aunt', 'daughter-in-law']
boy : girl = stepfather : stepmother -> ['stepfather', 'stepmother', 'mother-in-law', 'fiance', 'sister-in-law']
boy : girl = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'sister-in-law', 'daughter-in-law', 'stepbrother']
boy : girl = uncle : aunt -> ['uncle', 'aunt', 'grandfather', 'grandmother', 'father-in-law']
brother : sister = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'sister', 'stepbrothers']
brother : sister = dad : mom -> ['dad', 'mom', 'mum', 'grandma', 'sister']
brother : sister = father : mother -> ['mother', 'father', 'grandmother', 'sister', 'aunt']
brother : sister = grandfather : grandmother -> ['grandmother', 'grandfather', 'aunt', 'sister', 'mother']
brother : sister = grandpa : grandma -> ['grandpa', 'grandma', 'granny', 'grandad', 'auntie']
brother : sister = grandson : granddaughter -> ['granddaughter', 'daughter', 'grandson', 'sister', 'great-granddaughter']
brother : sister = groom : bride -> ['groom', 'bridegroom', 'grooms', 'bride', 'bridesmaid']
brother : sister = he : she -> ['he', 'she', 'who', 'they', 'handschriftenliste']
brother : sister = his : her -> ['his', 'their', 'your', 'my', 'our']
brother : sister = husband : wife -> ['husband', 'sister', 'fiancé', 'fiance', 'mother-in-law']
brother : sister = king : queen -> ['king', 'queen', 'princess', 'tsarina', 'monarch']
brother : sister = man : woman -> ['man', 'woman', 'girl', 'waif', 'schoolgirl']
brother : sister = nephew : niece -> ['niece', 'nephew', 'sister', 'half-sister', 'granddaughter']
brother : sister = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'shopkeeper', 'firefighter']
brother : sister = prince : princess -> ['prince', 'princess', 'duchess', 'empress', 'landgravine']
brother : sister = son : daughter -> ['daughter', 'son', 'sister', 'granddaughter', 'niece']
brother : sister = sons : daughters -> ['sons', 'daughters', 'sister', 'daughter', 'granddaughters']
brother : sister = stepbrother : stepsister -> ['sister', 'stepsister', 'stepbrother', 'sister-in-law', 'stepdaughter']
brother : sister = stepfather : stepmother -> ['stepfather', 'stepmother', 'grandmother', 'mother-in-law', 'sister']
brother : sister = stepson : stepdaughter -> ['stepdaughter', 'sister', 'sister-in-law', 'stepson', 'daughter-in-law']
brother : sister = uncle : aunt -> ['aunt', 'sister', 'uncle', 'grandmother', 'half-sister']
brother : sister = boy : girl -> ['boy', 'girl', 'schoolgirl', 'toddler', 'teenager']
brothers : sisters = dad : mom -> ['dad', 'mom', 'grandma', 'grandmother', 'mum']
brothers : sisters = father : mother -> ['father', 'mother', 'grandmother', 'grandfather', 'aunt']
brothers : sisters = grandfather : grandmother -> ['grandfather', 'grandmother', 'aunt', 'great-grandmother', 'mother']
brothers : sisters = grandpa : grandma -> ['grandpa', 'grandma', 'granny', 'susie', 'grandad']
brothers : sisters = grandson : granddaughter -> ['granddaughter', 'grandson', 'great-granddaughter', 'great-grandson', 'daughter']
brothers : sisters = groom : bride -> ['groom', 'bridegroom', 'grooms', 'bridesmaid', 'beggar']
brothers : sisters = he : she -> ['he', 'she', 'who', 'they', 'kagenobu']
brothers : sisters = his : her -> ['his', 'their', 'my', 'our', 'whose']
brothers : sisters = husband : wife -> ['husband', 'fiancé', 'mother-in-law', 'daughter-in-law', 'fiance']
brothers : sisters = king : queen -> ['king', 'queen', 'tsarina', 'tsaritsa', 'knave']
brothers : sisters = man : woman -> ['man', 'woman', 'shepherdess', 'girl', 'wench']
brothers : sisters = nephew : niece -> ['nephew', 'niece', 'granddaughter', 'half-sister', 'half-brother']
brothers : sisters = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'shopkeeper', 'waiter']
brothers : sisters = prince : princess -> ['prince', 'princess', 'duchess', 'margravine', 'landgravine']
brothers : sisters = son : daughter -> ['son', 'daughter', 'granddaughter', 'grandson', 'great-granddaughter']
brothers : sisters = sons : daughters -> ['sons', 'daughters', 'sisters', 'granddaughters', 'grandsons']
brothers : sisters = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'daughter-in-law', 'great-aunt', 'sister-in-law']
