bad : worse = big : bigger -> ['worse', 'bigger', 'big', 'larger', 'smaller']
bad : worse = bright : brighter -> ['bright', 'worse', 'brighter', 'richer', 'browner']
bad : worse = cheap : cheaper -> ['cheaper', 'worse', 'cheap', 'inexpensive', 'expensive']
bad : worse = cold : colder -> ['cold', 'worse', 'warmer', 'colder', 'hotter']
bad : worse = cool : cooler -> ['worse', 'cool', 'warmer', 'hotter', 'colder']
bad : worse = deep : deeper -> ['deeper', 'deep', 'worse', 'narrower', 'deepest']
bad : worse = easy : easier -> ['easier', 'worse', 'easy', 'harder', 'slower']
bad : worse = fast : faster -> ['fast', 'faster', 'worse', 'slower', 'slowly']
bad : worse = good : better -> ['worse', 'better', 'good', 'funnier', 'happier']
bad : worse = great : greater -> ['worse', 'great', 'greater', 'bigger', 'florenz']
bad : worse = hard : harder -> ['harder', 'worse', 'hard', 'easier', 'tougher']
bad : worse = heavy : heavier -> ['heavier', 'worse', 'heavy', 'lighter', 'tougher']
bad : worse = high : higher -> ['high', 'higher', 'worse', 'larger', 'cheaper']
bad : worse = hot : hotter -> ['worse', 'hot', 'hotter', 'heavier', 'angrier']
bad : worse = large : larger -> ['larger', 'large', 'smaller', 'worse', 'bigger']
bad : worse = long : longer -> ['long', 'worse', 'longer', 'shorter', 'basally']
bad : worse = loud : louder -> ['worse', 'loud', 'louder', 'funnier', 'angrier']
bad : worse = low : lower -> ['low', 'worse', 'higher', 'lowest', 'hotter']
bad : worse = new : newer -> ['new', 'worse', 'larger', 'newer', 'smaller']
bad : worse = old : older -> ['old', 'worse', 'older', 'larger', 'younger']
bad : worse = quick : quicker -> ['worse', 'quick', 'slower', 'quicker', 'easier']
bad : worse = safe : safer -> ['safe', 'worse', 'safer', 'cheaper', 'healthier']
bad : worse = sharp : sharper -> ['sharp', 'worse', 'sharper', 'harder', 'tougher']
bad : worse = short : shorter -> ['short', 'worse', 'shorter', 'longer', 'slower']
bad : worse = simple : simpler -> ['simple', 'worse', 'simpler', 'bigger', 'noisier']
bad : worse = slow : slower -> ['slow', 'worse', 'slower', 'faster', 'slowing']
bad : worse = small : smaller -> ['smaller', 'larger', 'small', 'worse', 'bigger']
bad : worse = smart : smarter -> ['worse', 'smart', 'smarter', 'cheaper', 'bigger']
bad : worse = strong : stronger -> ['worse', 'stronger', 'strong', 'weaker', 'tougher']
bad : worse = tall : taller -> ['tall', 'taller', 'worse', 'larger', 'narrower']
bad : worse = tight : tighter -> ['tight', 'worse', 'tighter', 'closer', 'tougher']
bad : worse = tough : tougher -> ['worse', 'tougher', 'tough', 'harder', 'angrier']
bad : worse = warm : warmer -> ['warm', 'worse', 'warmer', 'drier', 'hotter']
bad : worse = weak : weaker -> ['worse', 'weak', 'weaker', 'stronger', 'tougher']
bad : worse = wide : wider -> ['wide', 'wider', 'worse', 'narrower', 'broader']
bad : worse = young : younger -> ['young', 'worse', 'younger', 'older', 'wealthier']
big : bigger = bright : brighter -> ['bright', 'brighter', 'richer', 'bigger', 'browner']
big : bigger = cheap : cheaper -> ['cheaper', 'cheap', 'inexpensive', 'bigger', 'heavier']
big : bigger = cold : colder -> ['cold', 'warmer', 'hotter', 'colder', 'cooler']
big : bigger = cool : cooler -> ['cool', 'warmer', 'hotter', 'cooler', 'colder']
big : bigger = deep : deeper -> ['deeper', 'deep', 'bigger', 'narrower', 'stronger']
big : bigger = easy : easier -> ['easy', 'easier', 'harder', 'bigger', 'tougher']
big : bigger = fast : faster -> ['faster', 'fast', 'slower', 'heavier', 'bigger']
big : bigger = good : better -> ['good', 'bigger', 'better', 'funnier', 'uglier']
big : bigger = great : greater -> ['great', 'bigger', 'larger', 'greater', 'smaller']
big : bigger = hard : harder -> ['hard', 'harder', 'tougher', 'easier', 'bigger']
big : bigger = heavy : heavier -> ['heavier', 'heavy', 'lighter', 'bigger', 'larger']
big : bigger = high : higher -> ['high', 'higher', 'bigger', 'larger', 'smaller']
big : bigger = hot : hotter -> ['hot', 'bigger', 'hotter', 'heavier', 'larger']
big : bigger = large : larger -> ['larger', 'bigger', 'smaller', 'large', 'sizeable']
big : bigger = long : longer -> ['long', 'longer', 'shorter', 'bigger', 'larger']
big : bigger = loud : louder -> ['loud', 'louder', 'bigger', 'funnier', 'stronger']
big : bigger = low : lower -> ['low', 'higher', 'bigger', 'larger', 'heavier']
big : bigger = new : newer -> ['new', 'newer', 'larger', 'bigger', 'sturdier']
big : bigger = old : older -> ['old', 'older', 'bigger', 'larger', 'newer']
big : bigger = quick : quicker -> ['quick', 'slower', 'bigger', 'tougher', 'faster']
big : bigger = safe : safer -> ['safe', 'healthier', 'safer', 'bigger', 'cheaper']
big : bigger = sharp : sharper -> ['sharp', 'sharper', 'bigger', 'taut', 'tougher']
big : bigger = short : shorter -> ['short', 'shorter', 'bigger', 'larger', 'longer']
big : bigger = simple : simpler -> ['simple', 'simpler', 'bigger', 'leaner', 'bulkier']
big : bigger = slow : slower -> ['slow', 'slower', 'faster', 'slowing', 'bigger']
big : bigger = small : smaller -> ['smaller', 'larger', 'small', 'bigger', 'smallish']
big : bigger = smart : smarter -> ['smart', 'bigger', 'smarter', 'tougher', 'leaner']
